Recording	Participant	Timeline	TOI	Interval	Media	AOI	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Average_eye_openness	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Average_whole-fixation_eye_openness	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Recording1	test1	Timeline1	findDice	1	findDice	Dice	10004	70093		2833	708	267	1317	4	1187	300	M1		3.02406	9.28074	2833	708	267	1317	4	1187	300	3.02406	9.28074	3100	1550	583	2517	2	1187	583	3167	1583	600	2567	2	1170	600	0			0			1	1170	1770	161.24	379.52
Recording1	test1	Timeline1	findDice	1	findDice	M1	10004	70093		500	500	500	500	1	7170	500	M1		3.09354	8.78654	500	500	500	500	1	7170	500	3.09354	8.78654	500	500	500	500	1	7170	500	533	533	533	533	1	7137	533	0			0			0	7137	7670	136.81	94.01
Recording1	test1	Timeline1	findDice	1	findDice	M2	10004	70093		0				0			M1				0				0					0				0			0				0			0			0			0				
Recording1	test1	Timeline1	findDice	1	findDice	Rectangle 3	10004	70093		0				0			M1				0				0					0				0			0				0			0			0			0				
Recording1	test1	Timeline1	findDice	1	findDice	Rectangle 4	10004	70093		0				0			M1				0				0					0				0			0				0			0			0			0				
Recording1	test1	Timeline1	findDice	1	findDice	Rectangle 5	10004	70093		0				0			M1				0				0					0				0			0				0			0			0			0				
Recording1	test1	Timeline1	findDice	1	findDice	Rectangle 6	10004	70093		200	200	200	200	1	6453	200	M1		3.15306	9.04605	200	200	200	200	1	6453	200	3.15306	9.04605	200	200	200	200	1	6453	200	233	233	233	233	1	6420	233	0			0			0	6420	6653	105.29	129.97
Recording1	test1	Timeline1	findDice	1	findDice	Rectangle 7	10004	70093		450	450	450	450	1	6687	450	M1		3.1453	8.91252	450	450	450	450	1	6687	450	3.1453	8.91252	450	450	450	450	1	6687	450	483	483	483	483	1	6653	483	0			0			0	6653	7137	129.97	136.81
Recording1	test1	Timeline1	findYummy	1	findYummy	Rectangle	5017	137631		0				0							0				0					0				0			0				0			0			0			0				
Recording1	test1	Timeline1	findYummy	1	findYummy	Rectangle 1	5017	137631		0				0							0				0					0				0			0				0			0			0			0				
Recording1	test1	Timeline1	findYummy	1	findYummy	Rectangle 2	5017	137631		0				0							0				0					0				0			0				0			0			0			0				
Recording1	test1	Timeline1	findYummy	1	findYummy	Rectangle 3	5017	137631		0				0							0				0					0				0			0				0			0			0			0				
Recording1	test1	Timeline1	findYummy	1	findYummy	Rectangle 4	5017	137631		0				0							0				0					0				0			0				0			0			0			0				
Recording1	test1	Timeline1	findYummy	1	findYummy	Rectangle 5	5017	137631		0				0							0				0					0				0			0				0			0			0			0				
Recording1	test1	Timeline1	findYummy	1	findYummy	Rectangle 6	5017	137631		0				0							0				0					0				0			0				0			0			0			0				
Recording1	test1	Timeline1	findYummy	1	findYummy	Rectangle 7	5017	137631		0				0							0				0					0				0			0				0			0			0			0				
Recording1	test1	Timeline1	findYummy	1	findYummy	Rectangle 8	5017	137631		0				0							0				0					0				0			0				0			0			0			0				
Recording1	test1	Timeline1	frog	1	frog	Rectangle	16077	83537		0				0			Rectangle 1	Rectangle 1			0				0					0				0			0				0			0			0			0				
Recording1	test1	Timeline1	frog	1	frog	Rectangle 1	16077	83537		2951	984	317	2034	3	4959	317	Rectangle 1	Rectangle 1	2.96225	9.19254	917	458	317	600	2	4959	317	2.9012	9.17273	2968	1484	933	2034	2	4959	933	3034	1517	983	2051	2	4909	983	0			0			1	4909	5892	337.65	46.78
Recording1	test1	Timeline1	frog	1	frog	Rectangle 2	16077	83537		0				0			Rectangle 1	Rectangle 1			0				0					0				0			0				0			0			0			0				
Recording1	test1	Timeline1	frog	1	frog	Rectangle 3	16077	83537		167	167	167	167	1	9309	167	Rectangle 1	Rectangle 1	2.76833	8.54994	167	167	167	167	1	9309	167	2.76833	8.54994	167	167	167	167	1	9309	167	183	183	183	183	1	9293	183	0			0			0	9293	9476	50.26	225.41
Recording1	test1	Timeline1	frog	1	frog	Rectangle 4	16077	83537		0				0			Rectangle 1	Rectangle 1			0				0					0				0			0				0			0			0			0				
Recording1	test1	Timeline1	frog	1	frog	Rectangle 5	16077	83537		0				0			Rectangle 1	Rectangle 1			0				0					0				0			0				0			0			0			0				
Recording1	test1	Timeline1	frog	1	frog	Rectangle 6	16077	83537		550	550	550	550	1	6459	550	Rectangle 1	Rectangle 1	2.72123	9.13832	550	550	550	550	1	6459	550	2.72123	9.13832	550	550	550	550	1	6459	550	583	583	583	583	1	6426	583	0			0			0	6426	7009	113.9	240.15
Recording1	test1	Timeline1	frogInBathroom	1	frogInBathroom	Rectangle	20998	116633		4135	1034	167	2250	4	11380	167	Rectangle	Rectangle	2.82861	9.2345	2617	872	167	2250	3	11380	167	2.82054	9.21559	4151	1384	383	2250	3	11380	383	4218	1406	400	2267	3	11364	400	0			0			1	11364	11764	77.38	55.46
Recording1	test1	Timeline1	frogInBathroom	1	frogInBathroom	Rectangle 1	20998	116633		0				0			Rectangle	Rectangle			0				0					0				0			0				0			0			0			0				
Recording1	test1	Timeline1	frogInBathroom	1	frogInBathroom	Rectangle 2	20998	116633		0				0			Rectangle	Rectangle			0				0					0				0			0				0			0			0			0				
Recording1	test1	Timeline1	headphoneInBathroom	1	headphoneInBathroom	Rectangle	7012	99614		0				0			Rectangle 3				0				0					0				0			0				0			0			0			0				
Recording1	test1	Timeline1	headphoneInBathroom	1	headphoneInBathroom	Rectangle 1	7012	99614		0				0			Rectangle 3				0				0					0				0			0				0			0			0			0				
